类型,名称,仙草,毒草,链接,,,,,,,,
仙侠,《极道天魔》（校对版全本）作者：滚开,6791,298,http://www.zxcs.me/post/11260,,,,,,,,
游戏,《惊悚乐园》（校对版全本+番外）作者：三天两觉,5243,191,http://www.zxcs.me/post/10865,,,,,,,,
玄幻,《诡秘之主》（精校版全本）作者：爱潜水的乌贼,4181,275,http://www.zxcs.me/post/11914,,,,,,,,
科幻,《异常生物见闻录》（校对版全本）作者：远瞳,3733,309,http://www.zxcs.me/post/10970,,,,,,,,
都市,《大王饶命》（校对版全本）作者：会说话的肘子,3585,442,http://www.zxcs.me/post/11314,,,,,,,,
玄幻,《放开那个女巫》（校对版全本）作者：二目,2882,294,http://www.zxcs.me/post/11566,,,,,,,,
仙侠,《大道争锋》（校对版全本）作者：误道者,2349,230,http://www.zxcs.me/post/11420,,,,,,,,
科幻,《修真四万年》（校对版全本）作者：卧牛真人,2198,276,http://www.zxcs.me/post/11111,,,,,,,,
仙侠,《玄界之门》（校对版全本）作者：忘语,2016,240,http://www.zxcs.me/post/10673,,,,,,,,
仙侠,《一念永恒》（校对版全本）作者：耳根,2010,420,http://www.zxcs.me/post/10940,,,,,,,,
都市,《修真聊天群》（校对版全本）作者：圣骑士的传说,1862,193,http://www.zxcs.me/post/11805,,,,,,,,
都市,《俗人回档》（校对版全本）作者：庚不让,1782,612,http://www.zxcs.me/post/11363,,,,,,,,
仙侠,《我师兄实在太稳健了》（校对版全本）作者：言归正传,1782,195,http://www.zxcs.me/post/12193,,,,,,,,
玄幻,《牧神记》（校对版全本）作者：宅猪,1690,309,http://www.zxcs.me/post/11675,,,,,,,,
仙侠,《最强反派系统》（校对版全本）作者：封七月,1685,277,http://www.zxcs.me/post/10898,,,,,,,,
仙侠,《问道红尘(仙子请自重)》（校对版全本）作者：姬叉,1677,181,http://www.zxcs.me/post/12042,,,,,,,,
游戏,《琥珀之剑》（校对版全本）作者：绯炎,1624,141,http://www.zxcs.me/post/10450,,,,,,,,
都市,《我的女友是恶女》（校对版全本）作者：海底漫步者,1623,220,http://www.zxcs.me/post/11474,,,,,,,,
玄幻,《儒道至圣》（校对版全本）作者：永恒之火,1612,1226,http://www.zxcs.me/post/11626,,,,,,,,
玄幻,《永夜君王》（校对版全本）作者：烟雨江南,1515,274,http://www.zxcs.me/post/11394,,,,,,,,
玄幻,《史上最强赘婿》（校对版全本）作者：沉默的糕点,1503,750,http://www.zxcs.me/post/11645,,,,,,,,
科幻,《我有一座冒险屋(我有一座恐怖屋)》（校对版全本）作者：我会修空调,1498,79,http://www.zxcs.me/post/12143,,,,,,,,
科幻,《小世界其乐无穷》（校对版全本）作者：听日,1467,235,http://www.zxcs.me/post/11604,,,,,,,,
游戏,《从零开始》（校对版全本）作者：雷云风暴,1436,185,http://www.zxcs.me/post/9671,,,,,,,,
游戏,《超神机械师》（校对版全本）作者：齐佩甲,1427,109,http://www.zxcs.me/post/11880,,,,,,,,
都市,《全球高武》（校对版全本）作者：老鹰吃小鸡,1410,346,http://www.zxcs.me/post/11713,,,,,,,,
科幻,《深夜书屋》（校对版全本）作者：纯洁滴小龙,1385,208,http://www.zxcs.me/post/11666,,,,,,,,
都市,《逆流纯真年代》（校对版全本）作者：人间武库,1378,796,http://www.zxcs.me/post/11202,,,,,,,,
科幻,《我在末世有套房》（校对版全本）作者：晨星LL,1338,270,http://www.zxcs.me/post/10775,,,,,,,,
仙侠,《掠天记》（校对版全本）作者：黑山老鬼,1222,308,http://www.zxcs.me/post/10686,,,,,,,,
科幻,《同时穿越了99个世界》（校对版全本）作者：凤嘲凰,1198,158,http://www.zxcs.me/post/11419,,,,,,,,
都市,《第一序列》（校对版全本）作者：会说话的肘子,1177,206,http://www.zxcs.me/post/12083,,,,,,,,
